Post Office,Location,Destination,Distance (in km)
Manila City,Manila City Post Office,De La Salle University Manila 2401 Taft Ave Malate Manila 1004 Metro Manila,4.1
Manila City,Manila City Post Office,Philippine Normal University - The National Center for Teacher Education 104 Taft Ave Ermita Manila 1000 Metro Manila,2.3
Manila City,Manila City Post Office,Centro Escolar University San Miguel Manila Metro Manila,2.9
Manila City,Manila City Post Office,Eulogio Amang Rodriguez Institute of Science and Technology Valencia Manila Metro Manila,4.3
Manila City,Manila City Post Office,St. Paul University Manila 680 Pedro Gil St Malate Manila 1004 Metro Manila,3.4
Manila City,Manila City Post Office,University of the Philippines Manila Padre Faura St Ermita Manila 1000 Metro Manila,2.3
Manila City,Manila City Post Office,Polytechnic University of the Philippines Anonas Santa Mesa Manila Metro Manila,5.8
Manila City,Manila City Post Office,Philippine Christian University Manila Campus 1648 Taft Ave Malate Manila 1004 Metro Manila,3.4
Manila City,Manila City Post Office,Mapúa University 658 Muralla St Intramuros Manila 1002 Metro Manila,1.3
Manila City,Manila City Post Office,University of the City of Manila General Luna St Intramuros Manila 1002 Metro Manila,2
Manila City,Manila City Post Office,Technological University Of The Philippines Ayala Blvd Ermita Manila 1000 Metro Manila,2.3
Manila City,Manila City Post Office,Adamson University 900San Marcelino StreetErmitaManila City 1000Metro Manila,2.6
Manila City,Manila City Post Office,La Consolacion College Manila 8 Mendiola St San Miguel Manila 1005 Metro Manila,3.2
Manila City,Manila City Post Office,Emilio Aguinaldo College Paco Manila Metro Manila,2.2
Manila City,Manila City Post Office,Far Eastern University Nicanor Reyes Sr. St. Sampaloc Manila Sampaloc,4
Manila City,Manila City Post Office,Lyceum of the Philippines University Manila Campus Muralla St Intramuros Manila 1002 Metro Manila,1.2
Manila City,Manila City Post Office,The National Teachers College 629 Nepomuceno St Quiapo Manila 1001 Metro Manila,3.5
Manila City,Manila City Post Office,Universidad De Manila 659-A Cecilia Muñoz St Ermita Manila 1000 Metro Manila,2.1
Manila City,Manila City Post Office,Philippine College of Health Sciences Sampaloc Manila Metro Manila,3.9
Manila City,Manila City Post Office,San Sebastian College - Recoletos Recto Ave Quiapo Manila 1001 Metro Manila,2.5
Manila City,Manila City Post Office,Technological Institute of the Philippines (TIP) - Manila 363 P Casal Street Manila,2.7
Manila City,Manila City Post Office,San Beda University 638 Mendiola St San Miguel Manila 1005 Metro Manila,3
Manila City,Manila City Post Office,Santa Isabel College Taft Ave Ermita Manila 1000 Metro Manila,2
Manila City,Manila City Post Office,La Concordia College 1436 Sto Sepulcro Paco Manila Metro Manila,4.7
Manila City,Manila City Post Office,COLLEGE OF THE HOLY SPIRIT 1004 Metro Manila Manila  Philippines 163 E Mendiola,3.9
Manila City,Manila City Post Office,FEU Institute of Technology P. Paredes Sampaloc Manila Metro Manila,3.8
Manila City,Manila City Post Office,Metropolitan Hospital College of Nursing Inc. 1357 G. Masangkay St. Sta. Cruz Manila Metro Manila,1
Manila City,Manila City Post Office,Perpetual Help College of Manila 1240 Concepcion St Sampaloc Manila Metro Manila,4.6
Manila City,Manila City Post Office,Chinese General Hospital Colleges 286 Blumentritt Rd Santa Cruz Manila 1014 Metro Manila,6.2
Manila City,Manila City Post Office,Informatics College - Manila BDO Building 2070 Recto Ave Quiapo Maynila 1008 Kalakhang Maynila,2.5
Manila City,Manila City Post Office,Chiang Kai Shek College 1274 Padre Algue St Tondo Manila 1012 Metro Manila,2.1
Manila City,Manila City Post Office,Asian Social Institute 1518 Leon Guinto St Malate Maynila 1004 Kalakhang Maynila,2.9
Manila City,Manila City Post Office,Jesus Reigns Christian College 811 Julio Nakpil St Malate Manila 1004 Metro Manila,3
Manila City,Manila City Post Office,Philippine College of Criminology 641 Sales St Quiapo Manila 1001 Metro Manila,1.9
Manila City,Manila City Post Office,Manila Business College 1671 MBC Bldg. Sta. Cruz Alvarez St Santa Cruz Manila 1003 Metro Manila,2.8
Manila City,Manila City Post Office,Mary Chiles College 667 Dalupan St Sampaloc Manila 1008 Metro Manila,4
Manila City,Manila City Post Office,Asian Institute of Journalism and Communication 2244 España Blvd Sampaloc Manila 1008 Metro Manila,5.7
Manila City,Manila City Post Office,The Manila Times College 371 A Bonifacio Drive Port Area Manila 1018 Metro Manila,2.5
Manila City,Manila City Post Office,Mary Johnston College of Nursing Morga St Tondo Manila Metro Manila,4.5
Manila City,Manila City Post Office,University of Santo Tomas España Blvd Sampaloc Manila Metro Manila,4.6
Manila City,Manila City Post Office,Philippine Women's University 1743 Taft Ave Malate Manila 1004 Metro Manila,3.5
Manila City,Manila City Post Office,University of the East Manila Campus 2219 Recto Ave Sampaloc Manila 1008 Metro Manila,3.7
Manila City,Manila City Post Office,Arellano University 2600 Legarda St Sampaloc Manila 1008 Metro Manila,3.4
Manila City,Manila City Post Office,St. Scholastica's College Leon Guinto St Malate Manila 1004 Metro Manila,4.5
Manila City,Manila City Post Office,The University Of Manila 546 Delos Santos St 403 Manila 1008 Metro Manila,3.1
Quezon City,Quezon City Post Office,World Citi College E. Evangelista Project 4 Quezon City Metro Manila,4.7
Quezon City,Quezon City Post Office,NBS College 3rd & 4th floors Sct. Borromeo corner Quezon Avenue Diliman Lungsod Quezon Kalakhang Maynila,2.6
Quezon City,Quezon City Post Office,University of the Philippines Diliman Diliman Quezon City Metro Manila,4.2
Quezon City,Quezon City Post Office,Ateneo de Manila University Katipunan Ave Quezon City 1108 Metro Manila,5.4
Quezon City,Quezon City Post Office,New Era University 9 Central Ave New Era Quezon City 1107 Metro Manila,5.5
